relation1,relation2,relation
456,136,parent_of
456,240,parent_of
456,851,parent_of
456,1422,parent_of
456,1426,parent_of
456,1431,parent_of
456,1530,parent_of
287,136,parent_of
287,240,parent_of
287,851,parent_of
287,1422,parent_of
287,1426,parent_of
287,1431,parent_of
287,1530,parent_of
456,287,spouse
287,456,spouse
1431,2069,spouse
2069,1431,spouse
851,1869,loves
1869,851,loves
1716,1530,spouse
1530,1716,spouse
1434,295,spouse
295,1434,spouse
785,295,loves
295,785,loves
785,295,sibling_of
295,785,sibling_of
1434,1195,parent_of
1434,831,parent_of
1434,1676,parent_of
1434,586,parent_of
1195,295,parent_of
831,295,parent_of
1676,295,parent_of
586,295,parent_of
785,1195,bioparent_of
785,831,bioparent_of
785,1676,bioparent_of
785,586,bioparent_of
1716,1552,loves
1552,1716,loves
831,1066,spouse
1066,831,spouse
1676,1066,spouse
1066,1676,spouse
1727,1716,parent_of
1727,785,parent_of
1727,295,parent_of
1396,1066,spouse
1066,1396,spouse
1586,1545,spouse
1545,1586,spouse
1586,1562,parent_of
1545,1562,parent_of
8,1045,sibling_of
1045,8,sibling_of
1045,27,sibling_of
27,1045,sibling_of
27,352,parent_of
27,1770,parent_of
352,438,spouse
438,352,spouse
344,352,loves
352,344,loves
862,352,loves
352,2070,parent_of
352,2071,parent_of
352,2072,parent_of
808,862,parent_of
154,1648,parent_of
154,2073,parent_of
1486,1371,parent_of
1371,1530,spouse
1530,1371,spouse
